similar_word,sensitive_similarity,input_word
sentient,0.152,mankind
oghuz,0.152,ancestors
calf,0.152,barbarian
specialy,0.152,barbarian
diverse,0.152,diversity
carp,0.152,respectability
molestation,0.152,partner
southerner,0.152,prostitute
bais,0.152,tribe
inspires,0.152,respectability
descendents,0.152,ancestors
ancestry,0.152,ethnicity
subcommittee,0.152,chief
phoenicians,0.152,oriental
savior,0.152,mankind
needy,0.152,nurse
turkic,0.152,ethnicity
consciousness,0.152,mankind
experimented,0.152,one
risks,0.152,disability
slaves,0.151,slavery
underaged,0.151,barbarian
constituent,0.151,nation
seizing,0.151,migrants
extinguish,0.151,nurse
beasts,0.151,mankind
maudlin,0.151,bossy
cynic,0.151,bossy
serbians,0.151,barbarian
venn,0.151,color
masons,0.151,slaves
doth,0.151,darkness
overseas,0.151,foreign
sadr,0.151,foreign
warlord,0.151,tribe
aram,0.151,homeland
uae,0.151,immigrant
enraged,0.151,deaf
sais,0.151,deaf
flds,0.15,mankind
proficient,0.15,mastery
spiritual,0.15,mankind
allergies,0.15,disability
hunnic,0.15,ancestors
standardised,0.15,mastery
descended,0.15,ancestors
gujjars,0.15,barbarian
tossers,0.15,beggar
contractually,0.15,intersex
saxons,0.15,ancestors
karata,0.15,migrants
sharif,0.15,refugee
develope,0.15,nurse
osa,0.15,intersex
sukecchi,0.15,beggar
algerian,0.15,refugee
cheerio,0.15,respectability
hearsay,0.149,gossip
lurid,0.149,gossip
eurasian,0.149,oriental
winick,0.149,gossip
unsubstantiated,0.149,gossip
fsa,0.149,refugee
spokespeople,0.149,partner
bashar,0.149,homeland
publ,0.149,patron
hazardous,0.149,disability
threatning,0.149,bossy
grandfathers,0.149,barbarian
pubic,0.149,pale
ethiopia,0.149,nation
impacts,0.149,diversity
cockroach,0.148,woke
polymers,0.148,seminal
selfishness,0.148,madam
embarassed,0.148,bossy
obesity,0.148,disability
trauma,0.148,disability
compiles,0.148,seminal
mobilized,0.148,migrants
safest,0.148,one
penelope,0.148,patron
barony,0.148,respectability
pentecostal,0.148,patron
contries,0.148,migrants
treaties,0.148,foreign
halp,0.148,one
stalks,0.148,bossy
oman,0.148,oriental
amour,0.147,mastery
observational,0.147,diversity
photons,0.147,coloured
implode,0.147,darkness
smartest,0.147,one
serva,0.147,gossip
african,0.147,white
analysing,0.147,seminal
contour,0.147,coloured
hanoun,0.147,refugee
unreliably,0.146,gossip
abyss,0.146,pale
laos,0.146,homeland
senegal,0.146,oriental
neurological,0.146,disability
sucky,0.146,beggar
scrolled,0.146,woke
asiatic,0.146,ethnicity
avars,0.146,ancestors
unverifiable,0.146,gossip
ardabil,0.146,oriental
pietruczuk,0.146,chief
grappling,0.146,mastery
wikiadmins,0.145,madam
mosquitoes,0.145,disability
shines,0.145,darkness
mongolia,0.145,nation
almighty,0.145,darkness
dealers,0.145,nurse
righteousness,0.145,mankind
meagre,0.145,beggar
greed,0.145,mankind
evoked,0.145,partner
sinner,0.145,gentile
tumors,0.144,disability
colder,0.144,pale
twerp,0.144,beggar
prognosis,0.144,disability
biomedical,0.144,seminal
moldavia,0.144,oriental
courcelles,0.144,madam
dues,0.144,nurse
penetration,0.144,intersex
tilted,0.144,pale
rem,0.144,respectability
chiang,0.144,migrants
gazetteer,0.144,oriental
monastic,0.144,patron
